[1772590321] [apply_action] freq=500 Hz, last_dt=1972 us
[1772590322] [apply_action] freq=501 Hz, last_dt=2002 us
[1772590323] [apply_action] freq=501 Hz, last_dt=2036 us
[1772590324] [apply_action] freq=501 Hz, last_dt=2000 us
[1772590325] [apply_action] freq=500 Hz, last_dt=1974 us
[1772590326] [apply_action] freq=501 Hz, last_dt=2017 us
[1772590327] [apply_action] freq=500 Hz, last_dt=2004 us
[1772590328] [apply_action] freq=501 Hz, last_dt=1944 us
[1772590329] [apply_action] freq=500 Hz, last_dt=1992 us
[1772590330] [apply_action] freq=500 Hz, last_dt=2009 us
[1772590331] [apply_action] freq=500 Hz, last_dt=2010 us
[1772590332] [apply_action] freq=500 Hz, last_dt=2029 us
[1772590333] [apply_action] freq=501 Hz, last_dt=2015 us
[1772590334] [apply_action] freq=500 Hz, last_dt=2013 us
[1772590335] [apply_action] freq=501 Hz, last_dt=2034 us
[1772590336] [apply_action] freq=501 Hz, last_dt=2010 us
[1772590337] [apply_action] freq=501 Hz, last_dt=1985 us
[1772590338] [apply_action] freq=500 Hz, last_dt=1993 us
[1772590339] [apply_action] freq=500 Hz, last_dt=1996 us
[1772590340] [apply_action] freq=501 Hz, last_dt=2000 us
[1772590341] [apply_action] freq=501 Hz, last_dt=2028 us
[1772590342] [apply_action] freq=500 Hz, last_dt=2064 us
[1772590343] [apply_action] freq=501 Hz, last_dt=1992 us
[1772590344] [apply_action] freq=500 Hz, last_dt=1994 us
[1772590345] [apply_action] freq=501 Hz, last_dt=1991 us
[1772590346] [apply_action] freq=501 Hz, last_dt=1997 us
[1772590347] [apply_action] freq=500 Hz, last_dt=1995 us
[1772590348] [apply_action] freq=501 Hz, last_dt=1957 us
[1772590349] [apply_action] freq=501 Hz, last_dt=2007 us
[1772590350] [apply_action] freq=500 Hz, last_dt=2004 us
[1772590351] [apply_action] freq=500 Hz, last_dt=2018 us
[1772590352] [apply_action] freq=501 Hz, last_dt=1960 us
[1772590353] [apply_action] freq=500 Hz, last_dt=2009 us
[1772590354] [apply_action] freq=501 Hz, last_dt=1988 us
[1772590355] [apply_action] freq=500 Hz, last_dt=2010 us
[1772590356] [apply_action] freq=500 Hz, last_dt=2024 us
[1772590357] [apply_action] freq=500 Hz, last_dt=2026 us
[1772590358] [apply_action] freq=501 Hz, last_dt=2005 us
[1772590359] [apply_action] freq=500 Hz, last_dt=1998 us
[1772590360] [apply_action] freq=501 Hz, last_dt=1998 us
[1772590361] [apply_action] freq=500 Hz, last_dt=1976 us
[1772590362] [apply_action] freq=501 Hz, last_dt=1971 us
[1772590363] [apply_action] freq=500 Hz, last_dt=1985 us
[1772590364] [apply_action] freq=501 Hz, last_dt=2051 us
[1772590365] [apply_action] freq=501 Hz, last_dt=1945 us
[1772590366] [apply_action] freq=500 Hz, last_dt=1960 us
[1772590367] [apply_action] freq=501 Hz, last_dt=2011 us
[1772590368] [apply_action] freq=500 Hz, last_dt=2007 us
[1772590369] [apply_action] freq=500 Hz, last_dt=2003 us
[1772590370] [apply_action] freq=501 Hz, last_dt=2016 us
[1772590371] [apply_action] freq=501 Hz, last_dt=2009 us
[1772590372] [apply_action] freq=501 Hz, last_dt=1999 us
[1772590373] [apply_action] freq=500 Hz, last_dt=2048 us
[1772590374] [apply_action] freq=501 Hz, last_dt=2023 us
[1772590375] [apply_action] freq=501 Hz, last_dt=1994 us
[1772590376] [apply_action] freq=500 Hz, last_dt=2000 us
[1772590377] [apply_action] freq=500 Hz, last_dt=2040 us
